国际新闻,#genre#
GB News,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-gbnewsnz-samsungnz/playlist.m3u8
Global News,https://live.corusdigitaldev.com/groupa/live/48a5882b-a1ec-42d7-bfd7-6c2739e737da/live.isml/.m3u8
Global News,https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/master.m3u8
HLN,https://tvnow.best/api/stream/greg.g99@gmail.com/953209/livetv.epg/hln.us.m3u8
MSNBC,https://tvnow.best/api/stream/greg.g99@gmail.com/953209/livetv.epg/msnbc.usa.us.m3u8
NBC News Now,https://dai2.xumo.com/amagi_hls_data_xumo1212A-xumo-nbcnewsnow/CDN/master.m3u8
NBC News Now,https://cinedigm.vo.llnwd.net/conssui/amagi_hls_data_xumo1212A-xumo-nbcnewsnow/CDN/master.m3u8
NBC LX,https://d2gjhy8g9ziabr.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-samsungtvplus-stitched/samsungtvplus_us_nbclx_001.m3u8
Newsmax,https://newsmax-plex.amagi.tv/amRdirect/us_privacy=1---&did=62274240-07e7-5d94-8dc8-ef68cf19e175&dnt=0&X-Plex-Token=EzEGy3aT4zydHG9xwDJa&channelId=5fb81660b7ad2d002dcb7335&uid=1g09f77gt-09kr-2dg-cuuq-goj68g53vf6/hls/amagi_hls_data_plexAAAAA-newsmax-plex/CDN/playlist.m3u8
NHK World,http://185.236.229.31:9981/play/a05v
Reuters,https://reuters-reutersnow-1.plex.wurl.com/manifest/playlist.m3u8
Sky News,https://siloh.pluto.tv/lilo/production/SkyNews/master.m3u8
TRT World,https://tv-trtworld.live.trt.com.tr/master.m3u8
TYT,https://tyt-samsungus.amagi.tv/playlist.m3u8
USA Today,https://cdn-ue1-prod.tsv2.amagi.tv/linear/amg00731-gannettcoinc-usatodaynews-plex/playlist.m3u8
VOA,http://www.336699.live:1935/blockfour/litv-ftv03.stream/playlist.m3u8
Wion News,https://d1tdkdc0esjoxj.cloudfront.net/out/v1/f2054baeb8e94043bfc9c8cca2a0013d/index.m3u8
Yahoo! Finance,https://d1ewctnvcwvvvu.cloudfront.net/playlist.m3u8

ABC News AU,http://58.96.43.228:9981/stream/channelid/948512069?ticket=BDC5D3700CC6E60A21D7570A36E335C3339DFA3E&profile=pass
ABC Me,http://58.96.43.228:9981/stream/channelid/222774643?ticket=8604B4BDEFB2EB613FE206CCCFBA0A14766A0CAF&profile=pass
ABC TV,http://58.96.43.228:9981/stream/channelid/1227792883?ticket=85318F3C070E8CB67FF33D92FDD836C3FDAAB9BD&profile=pass
ABC TV Plus,http://58.96.43.228:9981/stream/channelid/1076955931?ticket=4144182E2282C52E9D3F48C6E9AC96866F37B853&profile=pass

ABC News US,http://50.7.238.114:8278/abcnews_glo/playlist.m3u8?tid=MAEA6759929367599293&ct=19225&tsum=edd59704e2182262583ea5b0e1093b9d
BBC World News,http://50.7.238.114:8278/bbcnews_twn/playlist.m3u8?tid=ME2E9411781394117813&ct=19225&tsum=ffaa2caa60183eec89d730ed80b336d1
Bloomberg,http://50.7.238.114:8278/bloomberg_twn/playlist.m3u8?tid=MD2D8088860380888603&ct=19225&tsum=ea1c6a2c09cef99386e1768a4ff4c61c
CBS News,http://50.7.238.114:8278/cbsn_glo/playlist.m3u8?tid=ME2E7003518970035189&ct=19225&tsum=c1cc67ff59df6d6f608a400760be0bd
CNA,http://50.7.238.114:8278/cna/playlist.m3u8?tid=MFAF1272681512726815&ct=19225&tsum=4d6a781648283b1bb018bc5c098432d0
CNBC Asia,http://50.7.238.114:8278/cnbc_twn/playlist.m3u8?tid=MA5A9732497897324978&ct=19225&tsum=268e38e98d745f914c001c83d98b4b60
CNN,http://50.7.238.114:8278/cnn_twn/playlist.m3u8?tid=ME9E1590756115907561&ct=19225&tsum=adf5db9504938a69e07bad07c9d6f7d6
Fox News,http://50.7.238.114:8278/foxnews_twn/playlist.m3u8?tid=MC6C3693629036936290&ct=19225&tsum=f5a714cff126a87d446c0613d9e80e14
France 24,http://50.7.238.114:8278/france24_twn/playlist.m3u8?tid=MD8D3999259739992597&ct=19225&tsum=f842be32f837e71c7df73d173c6705b1

CNN,https://cnn-cnninternational-1-de.samsung.wurl.com/manifest/playlist.m3u8
CNN,https://cnn-cnninternational-1-gb.samsung.wurl.com/manifest/playlist.m3u8

ABC News AU,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
Arirang TV,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Bloomberg,https://liveprodusphoenixeast.akamaized.net/USPhx-HD/Channel-TX-USPhx-AWS-virginia-1/Source-USPhx-16k-1-s6lk2-BP-07-02-81ykIWnsMsg_live.m3u8
DW,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8
DW,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/stream02/streamPlaylist.m3u8
NBC News Now,http://nbcnews2.akamaized.net/hls/live/723426-b/NBCNewsPlaymaker24x7Linear99a3a827-ua/master.m3u8
NBC News Now,https://nbcnews2.akamaized.net/hls/live/723426/NBCNewsPlaymaker24x7Linear99a3a827-ua/VIDEO_0_6596000.m3u8
Newsmax,https://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index_720.m3u8
NHK World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
NHK World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8

Al Jazeera,https://d1cy85syyhvqz5.cloudfront.net/v1/master/7b67fbda7ab859400a821e9aa0deda20ab7ca3d2/aljazeeraLive/AJE/index.m3u8
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
Euronews,https://d1mpprlbe8tn2j.cloudfront.net/v1/master/7b67fbda7ab859400a821e9aa0deda20ab7ca3d2/euronewsLive/87O7AhxRUdeeIVqf/ewnsabren_eng.m3u8
NBC News Now,https://d2gjhy8g9ziabr.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-samsungtvplus-stitched/samsungtvplus_us_nbcnewsnow_001.m3u8
Sky News,https://d301yv2uyy17su.cloudfront.net/sky-news-live.m3u8

Arirang TV,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang TV,http://amdlive-ch02.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang TV,http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8

BBC World News,http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/index.m3u8
BBC World News,http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/Stream(02)/index.m3u8

CBS News,https://dai.google.com/linear/hls/event/EezGs5EpSjSr-sYjB2qysw/master.m3u8
CBS News,https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8

CNN,https://tve-live-lln.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
HLN,https://tve-live-lln.warnermediacdn.com/hls/live/586496/cnngo/hln/VIDEO_0_3564000.m3u8

Bloomberg,https://bloomberg-bloombergtv-1-fr.samsung.wurl.com/manifest/playlist.m3u8
Bloomberg Quicktake,https://bloomberg-quicktake-1-fi.samsung.wurl.com/manifest/playlist.m3u8
Bloomberg Quicktake,http://bloomberg-quicktake-1-nl.samsung.wurl.tv/playlist.m3u8
Cheddar News,https://cheddar.samsung.wurl.com/manifest/playlist.m3u8
Cheddar News,https://cheddar.roku.wurl.com/manifest/playlist.m3u8
Cheddar News,https://cheddar-cheddar-3.roku.wurl.com/manifest/playlist.m3u8
Euronews,https://rakuten-euronews-1-no.samsung.wurl.com/manifest/playlist.m3u8
Euronews,https://euronews-euronews-world-1-au.samsung.wurl.com/manifest/playlist.m3u8

FOX Live Now,https://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
FOX Live Now,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
Newsmax,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsungus-newsmax/playlist.m3u8
TYT,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsungus-tyt-samsungtv-us/playlist.m3u8
Yahoo! Finance,https://yahoo-samsung.amagi.tv/hls/amagi_hls_data_yahoofina-samsungyahoofinance/CDN/playlist.m3u8
Yahoo! Finance,https://yahoo-samsung.amagi.tv/playlist.m3u8

Cheddar News,https://bcf66772c67a40ec839611926b59b041.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung_Cheddar/playlist.m3u8
CNN,https://105fd593241e4b2ba605a00dabebfe86.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung-gb_CNN/playlist.m3u8
Reuters,https://32ce4aad1eed49b1ba2999fb68d119c8.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Plex_ReutersNow/playlist.m3u8
Reuters,https://e6c161a2065f471aaf3136462778a6da.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung-de_ReutersNow/playlist.m3u8

Sky News,https://linear021-gb-hls1-prd-ak.cdn.skycdp.com/Content/HLS_001_sd/Live/channel(skynews)/index_mob.m3u8
Sky News,https://linear021-gb-hls1-prd-ak.cdn.skycdp.com/Content/HLS_001_hd/Live/channel(skynews)/index.m3u8

France 24,http://58.99.33.16:1935/liveedge17/live_156_3.stream/chunklist.m3u8

Newsmax,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/55b179af994403942f3061d6/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus

CNBC US,https://tvnow.best/api/stream/mjma7584@icloud.com/472796/livetv.epg/cnbc.usa.us.m3u8
CNN,https://tvnow.best/api/stream/mjma7584@icloud.com/472796/livetv.epg/cnn.us.m3u8
FOX News,https://tvnow.best/api/stream/mjma7584@icloud.com/472796/livetv.epg/fox.news.us.m3u8
FOX Business,https://tvnow.best/api/stream/mjma7584@icloud.com/472796/livetv.epg/fox.business.us.m3u8
HLN,https://tvnow.best/api/stream/mjma7584@icloud.com/472796/livetv.epg/hln.us.m3u8
MSNBC,https://tvnow.best/api/stream/mjma7584@icloud.com/472796/livetv.epg/msnbc.usa.us.m3u8

CNBC US,https://tvnow.best/api/stream/mattzack@gmail.com/penwood1/livetv.epg/cnbc.usa.us.m3u8
CNN,https://tvnow.best/api/stream/mattzack@gmail.com/penwood1/livetv.epg/cnn.us.m3u8
FOX News,https://tvnow.best/api/stream/mattzack@gmail.com/penwood1/livetv.epg/fox.news.us.m3u8
FOX Business,https://tvnow.best/api/stream/mattzack@gmail.com/penwood1/livetv.epg/fox.business.us.m3u8
HLN,https://tvnow.best/api/stream/mattzack@gmail.com/penwood1/livetv.epg/hln.us.m3u8
MSNBC,https://tvnow.best/api/stream/mattzack@gmail.com/penwood1/livetv.epg/msnbc.usa.us.m3u8

CNBC US,https://tvnow.best/api/stream/amishpatel81@gmail.com/790899/livetv.epg/cnbc.usa.us.m3u8
CNN,https://tvnow.best/api/stream/amishpatel81@gmail.com/790899/livetv.epg/cnn.us.m3u8
FOX News,https://tvnow.best/api/stream/amishpatel81@gmail.com/790899/livetv.epg/fox.news.us.m3u8
FOX Business,https://tvnow.best/api/stream/amishpatel81@gmail.com/790899/livetv.epg/fox.business.us.m3u8
HLN,https://tvnow.best/api/stream/amishpatel81@gmail.com/790899/livetv.epg/hln.us.m3u8
MSNBC,https://tvnow.best/api/stream/amishpatel81@gmail.com/790899/livetv.epg/msnbc.usa.us.m3u8

CNBC US,https://tvnow.best/api/stream/robert.goldsby50@gmail.com/629662/livetv.epg/cnbc.usa.us.m3u8
CNN,https://tvnow.best/api/stream/robert.goldsby50@gmail.com/629662/livetv.epg/cnn.us.m3u8
FOX News,https://tvnow.best/api/stream/robert.goldsby50@gmail.com/629662/livetv.epg/fox.news.us.m3u8
FOX Business,https://tvnow.best/api/stream/robert.goldsby50@gmail.com/629662/livetv.epg/fox.business.us.m3u8
HLN,https://tvnow.best/api/stream/robert.goldsby50@gmail.com/629662/livetv.epg/hln.us.m3u8
MSNBC,https://tvnow.best/api/stream/robert.goldsby50@gmail.com/629662/livetv.epg/msnbc.usa.us.m3u8

CNBC US,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/8263
FOX News,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/8247
FOX Business,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/8239
Sky News,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/39794

CNBC US,http://tvt3.xyz/play/live.php?mac=00:1A:79:70:39:2a&stream=8263&extension=ts&play_token=TQ6cftyhX8
FOX News,http://tvt3.xyz/play/live.php?mac=00:1A:79:70:39:2a&stream=8247&extension=ts&play_token=TQ6cftyhX8
FOX Business,http://tvt3.xyz/play/live.php?mac=00:1A:79:70:39:2a&stream=8239&extension=ts&play_token=TQ6cftyhX8
Sky News,http://tvt3.xyz/play/live.php?mac=00:1A:79:70:39:2a&stream=39794&extension=ts&play_token=TQ6cftyhX8

CNBC US,http://clientsportals.tv/play/live.php?mac=00:1A:79:70:39:2a&stream=8263&extension=ts&play_token=TQ6cftyhX8
FOX News,http://clientsportals.tv/play/live.php?mac=00:1A:79:70:39:2a&stream=8247&extension=ts&play_token=TQ6cftyhX8
FOX Business,http://clientsportals.tv/play/live.php?mac=00:1A:79:70:39:2a&stream=8239&extension=ts&play_token=TQ6cftyhX8
Sky News,http://tvt3.xyz/play/live.php?mac=00:1A:79:70:39:2a&stream=39794&extension=ts&play_token=TQ6cftyhX8
